"Freq [GHz]","mag(S(Port1,Port1)) []"
1,0.525843487427307
1.1,0.523250985078186
1.2,0.520409609397194
1.3,0.517307622517514
1.4,0.51396543548191
1.5,0.510359296779476
1.6,0.506511900642756
1.7,0.502397686718672
1.8,0.498041317718031
1.9,0.493415921849279
2,0.488547904423135
2.1,0.483409534367013
2.2,0.478028811289905
2.3,0.472377562294668
2.4,0.466470002489157
2.5,0.460323798839965
2.6,0.453908513345809
2.7,0.447258180000887
2.8,0.440342949166181
2.9,0.433181400850281
3,0.425795325272271
3.1,0.418154100878245
3.2,0.410297773528148
3.3,0.40219730169805
3.4,0.393876344905829
3.5,0.385361565856484
3.6,0.376624670775146
3.7,0.367693225881094
3.8,0.358597704571284
3.9,0.349311472870334
4,0.339866317720913
4.1,0.33029682454808
4.2,0.320578962688245
4.3,0.310749075450947
4.4,0.300846203197057
4.5,0.290849944818777
4.6,0.280801632476692
4.7,0.270745244615974
4.8,0.260665238226912
4.9,0.250608614753498
5,0.240604531049017
5.1,0.230705604336186
5.2,0.220903970742651
5.3,0.211256769276896
5.4,0.201824179964094
5.5,0.192607953079695
5.6,0.183674264579923
5.7,0.175072609272103
5.8,0.16687617840218
5.9,0.159101188018407
6,0.151826636599393
6.1,0.14513219061108
6.2,0.139041406348109
6.3,0.133631844498497
6.4,0.128957061407776
6.5,0.125077947931742
6.6,0.121992608933656
6.7,0.119732342319999
6.8,0.118292236853061
6.9,0.117659826250441
7,0.117763767571738
7.1,0.118556211308562
7.2,0.119963414906776
7.3,0.121913425937123
7.4,0.124302775698423
7.5,0.127058168273083
7.6,0.130100243806395
7.7,0.133362230400422
7.8,0.136763474715424
7.9,0.140251569672747
8,0.143774018026406
8.1,0.147290441087924
8.2,0.150750158666437
8.3,0.154124529102565
8.4,0.157384208844993
8.5,0.160509072287763
8.6,0.1634679703316
8.7,0.166247727185335
8.8,0.168833080883784
8.9,0.171211219634222
9,0.17337653243614
9.1,0.175310200760244
9.2,0.177009937464263
9.3,0.178469936521626
9.4,0.17969097505041
9.5,0.180659070179591
9.6,0.181376873368229
9.7,0.181842723108238
9.8,0.182055719975725
9.9,0.182021500258546
10,0.181728940933745
10.1,0.181184666367936
10.2,0.18039014060788
10.3,0.179353403018577
10.4,0.178064756272729
10.5,0.176532908417361
10.6,0.174760997163289
10.7,0.172752514215469
10.8,0.170517636446415
10.9,0.168047918280111
11,0.165354047186212
11.1,0.16244077366385
11.2,0.15931313544008
11.3,0.155982741175686
11.4,0.152442629609404
11.5,0.148704900804907
11.6,0.144775673333679
11.7,0.140661324540399
11.8,0.136374342660163
11.9,0.131909843223208
12,0.127280861194196
12.1,0.122494790065882
12.2,0.117559281082705
12.3,0.112487216762291
12.4,0.107276678503727
12.5,0.101941267176877
12.6,0.0964897906626684
12.7,0.0909314248152177
12.8,0.0852793064310313
12.9,0.079536207114463
13,0.0737167937933884
13.1,0.0678328756286542
13.2,0.0618976346273797
13.3,0.0559263163560524
13.4,0.0499380430597803
13.5,0.0439547641065752
13.6,0.0380111837531327
13.7,0.0321588036998931
13.8,0.0264858673151504
13.9,0.0211563627613294
14,0.0165371846066698
14.1,0.0133846657862383
14.2,0.0128199598846933
14.3,0.0151134494611
14.4,0.0192424158225068
14.5,0.0242518495867297
14.6,0.0296787231070644
14.7,0.0352956664826131
14.8,0.0409936101249297
14.9,0.0467122109463112
15,0.0524135160155705
15.1,0.058075103385824
15.2,0.0636772301819468
15.3,0.0692058312823208
15.4,0.0746494132656063
15.5,0.0799982067814233
15.6,0.0852459878973795
15.7,0.0903809064045666
15.8,0.0953978554817423
15.9,0.100290433398854
16,0.105052701610628
16.1,0.109679118292329
16.2,0.114169136974317
16.3,0.118508950277419
16.4,0.122698228185822
16.5,0.126732635272602
16.6,0.130608080456777
16.7,0.134326718261254
16.8,0.137873160402583
16.9,0.141249684016096
17,0.144453048636035
17.1,0.147480203447801
17.2,0.150328280429526
17.3,0.153001708634255
17.4,0.155483914920451
17.5,0.157779465108072
17.6,0.159886171439153
17.7,0.161802008082226
17.8,0.163525109538652
17.9,0.165053769944406
18,0.166394079517687
18.1,0.167529438632087
18.2,0.168466185118678
18.3,0.169203263377844
18.4,0.169739788742192
18.5,0.170075053035556
18.6,0.170215819013507
18.7,0.170147118356048
18.8,0.169876145270095
18.9,0.169402978803792
19,0.168727922615975
19.1,0.167851519363185
19.2,0.166780843251915
19.3,0.165504235176118
19.4,0.164029494183624
19.5,0.162358303649056
19.6,0.160492690860489
19.7,0.158435056592635
19.8,0.156192842352633
19.9,0.153759737815859
20,0.151144390754559
